PSGC_Code,Region,Province,Municipality,Total_Population,Male_Population,Female_Population,Male_Ratio,Female_Ratio,Age_0-4_Ratio,Age_5-9_Ratio,Age_10-14_Ratio,Age_15-19_Ratio,Age_20-24_Ratio,Age_25-29_Ratio,Age_30-34_Ratio,Age_35-39_Ratio,Age_40-44_Ratio,Age_45-49_Ratio,Age_50-54_Ratio,Age_55-59_Ratio,Age_60-64_Ratio,Age_65-69_Ratio,Age_70-74_Ratio,Age_75-79_Ratio,Age_80yearsandover_Ratio,Male_Age_0-4_Ratio,Male_Age_5-9_Ratio,Male_Age_10-14_Ratio,Male_Age_15-19_Ratio,Male_Age_20-24_Ratio,Male_Age_25-29_Ratio,Male_Age_30-34_Ratio,Male_Age_35-39_Ratio,Male_Age_40-44_Ratio,Male_Age_45-49_Ratio,Male_Age_50-54_Ratio,Male_Age_55-59_Ratio,Male_Age_60-64_Ratio,Male_Age_65-69_Ratio,Male_Age_70-74_Ratio,Male_Age_75-79_Ratio,Male_Age_80yearsandover_Ratio,Female_Age_0-4_Ratio,Female_Age_5-9_Ratio,Female_Age_10-14_Ratio,Female_Age_15-19_Ratio,Female_Age_20-24_Ratio,Female_Age_25-29_Ratio,Female_Age_30-34_Ratio,Female_Age_35-39_Ratio,Female_Age_40-44_Ratio,Female_Age_45-49_Ratio,Female_Age_50-54_Ratio,Female_Age_55-59_Ratio,Female_Age_60-64_Ratio,Female_Age_65-69_Ratio,Female_Age_70-74_Ratio,Female_Age_75-79_Ratio,Female_Age_80yearsandover_Ratio,Disability_Seeing_Mild_Ratio,Disability_Seeing_Moderate_Ratio,Disability_Seeing_Severe_Ratio,Disability_Seeing_All_Ratio,Disability_Hearing_Mild_Ratio,Disability_Hearing_Moderate_Ratio,Disability_Hearing_Severe_Ratio,Disability_Hearing_All_Ratio,Disability_Walking_Mild_Ratio,Disability_Walking_Moderate_Ratio,Disability_Walking_Severe_Ratio,Disability_Walking_All_Ratio,Disability_Remembering_Mild_Ratio,Disability_Remembering_Moderate_Ratio,Disability_Remembering_Severe_Ratio,Disability_Remembering_All_Ratio,Disability_Self_Caring_Mild_Ratio,Disability_Self_Caring_Moderate_Ratio,Disability_Self_Caring_Severe_Ratio,Disability_Self_Caring_All_Ratio,Disability_Communicating_Mild_Ratio,Disability_Communicating_Moderate_Ratio,Disability_Communicating_Severe_Ratio,Disability_Communicating_All_Ratio,Male_Disability_Seeing_Mild_Ratio,Male_Disability_Seeing_Moderate_Ratio,Male_Disability_Seeing_Severe_Ratio,Male_Disability_Seeing_All_Ratio,Male_Disability_Hearing_Mild_Ratio,Male_Disability_Hearing_Moderate_Ratio,Male_Disability_Hearing_Severe_Ratio,Male_Disability_Hearing_All_Ratio,Male_Disability_Walking_Mild_Ratio,Male_Disability_Walking_Moderate_Ratio,Male_Disability_Walking_Severe_Ratio,Male_Disability_Walking_All_Ratio,Male_Disability_Remembering_Mild_Ratio,Male_Disability_Remembering_Moderate_Ratio,Male_Disability_Remembering_Severe_Ratio,Male_Disability_Remembering_All_Ratio,Male_Disability_Self_Caring_Mild_Ratio,Male_Disability_Self_Caring_Moderate_Ratio,Male_Disability_Self_Caring_Severe_Ratio,Male_Disability_Self_Caring_All_Ratio,Male_Disability_Communicating_Mild_Ratio,Male_Disability_Communicating_Moderate_Ratio,Male_Disability_Communicating_Severe_Ratio,Male_Disability_Communicating_All_Ratio,Female_Disability_Seeing_Mild_Ratio,Female_Disability_Seeing_Moderate_Ratio,Female_Disability_Seeing_Severe_Ratio,Female_Disability_Seeing_All_Ratio,Female_Disability_Hearing_Mild_Ratio,Female_Disability_Hearing_Moderate_Ratio,Female_Disability_Hearing_Severe_Ratio,Female_Disability_Hearing_All_Ratio,Female_Disability_Walking_Mild_Ratio,Female_Disability_Walking_Moderate_Ratio,Female_Disability_Walking_Severe_Ratio,Female_Disability_Walking_All_Ratio,Female_Disability_Remembering_Mild_Ratio,Female_Disability_Remembering_Moderate_Ratio,Female_Disability_Remembering_Severe_Ratio,Female_Disability_Remembering_All_Ratio,Female_Disability_Self_Caring_Mild_Ratio,Female_Disability_Self_Caring_Moderate_Ratio,Female_Disability_Self_Caring_Severe_Ratio,Female_Disability_Self_Caring_All_Ratio,Female_Disability_Communicating_Mild_Ratio,Female_Disability_Communicating_Moderate_Ratio,Female_Disability_Communicating_Severe_Ratio,Female_Disability_Communicating_All_Ratio
1380600000,National Capital Region (NCR),City of Manila,City of Manila,1837785,912803,924982,0.496687,0.503313,0.092066,0.090445,0.086241,0.08569,0.097695,0.096477,0.084162,0.072241,0.064368,0.055058,0.050138,0.041183,0.033143,0.02217,0.014553,0.007013,0.007358,0.095726,0.094408,0.089409,0.087355,0.098446,0.097846,0.087017,0.073538,0.064741,0.054869,0.048484,0.038797,0.030027,0.019084,0.011548,0.004864,0.00384,0.088454,0.086535,0.083114,0.084046,0.096954,0.095126,0.081344,0.070961,0.064,0.055243,0.05177,0.043538,0.036217,0.025216,0.017518,0.009133,0.01083,0.085062,0.005407,0.000697,0.091166,0.015614,0.001452,0.000559,0.017625,0.017227,0.002735,0.001233,0.021196,0.009813,0.001269,0.000526,0.011607,0.004011,0.001155,0.001287,0.006454,0.003724,0.001218,0.001149,0.006091,0.070371,0.00435,0.000672,0.075394,0.013054,0.00126,0.000557,0.014871,0.013541,0.002338,0.001061,0.01694,0.007529,0.001112,0.000496,0.009137,0.003383,0.001059,0.001127,0.005568,0.00354,0.00126,0.001159,0.005959,0.099443,0.006441,0.000721,0.106606,0.01812,0.00164,0.000561,0.020321,0.020836,0.003124,0.001402,0.025362,0.012049,0.001422,0.000555,0.014026,0.004627,0.00125,0.001445,0.007321,0.003903,0.001178,0.001139,0.006219
1380500000,National Capital Region (NCR),City of Mandaluyong,City of Mandaluyong,419333,206818,212515,0.493207,0.506793,0.092189,0.087498,0.082376,0.074955,0.103729,0.10889,0.092151,0.076686,0.065456,0.054539,0.046452,0.037691,0.029938,0.020287,0.013529,0.006916,0.006718,0.096573,0.09051,0.085805,0.076517,0.10399,0.110696,0.094615,0.077682,0.066629,0.054618,0.045373,0.034644,0.026482,0.017146,0.010381,0.004782,0.003559,0.087923,0.084568,0.079039,0.073435,0.103475,0.107131,0.089754,0.075717,0.064315,0.054462,0.047503,0.040656,0.033301,0.023344,0.016592,0.008992,0.009792,0.061144,0.00342,0.000523,0.065087,0.010883,0.000912,0.000436,0.012231,0.012853,0.002096,0.000922,0.015872,0.00668,0.001001,0.000405,0.008086,0.003381,0.001061,0.001027,0.005469,0.003249,0.001098,0.001009,0.005356,0.050427,0.002655,0.000546,0.053627,0.008274,0.000685,0.000514,0.009473,0.009505,0.001675,0.000658,0.011839,0.005191,0.000765,0.000407,0.006364,0.003088,0.000963,0.000765,0.004817,0.003265,0.001092,0.000985,0.005341,0.071475,0.004158,0.0005,0.076134,0.013398,0.00113,0.000361,0.014889,0.016081,0.002502,0.001176,0.01976,0.008115,0.001228,0.000402,0.009746,0.003663,0.001156,0.001279,0.006098,0.003235,0.001104,0.001032,0.005371
1380700000,National Capital Region (NCR),City of Marikina,City of Marikina,452961,224014,228947,0.494555,0.505445,0.09307,0.093326,0.090836,0.084389,0.089524,0.088818,0.079815,0.070865,0.065282,0.057742,0.0514,0.042129,0.034661,0.024433,0.016123,0.008197,0.009392,0.097333,0.097757,0.095597,0.086892,0.090968,0.089195,0.08174,0.0705,0.065094,0.056068,0.049823,0.040212,0.03223,0.021284,0.013254,0.00591,0.006142,0.088898,0.08899,0.086177,0.08194,0.088112,0.088448,0.077931,0.071222,0.065465,0.059381,0.052942,0.044006,0.037039,0.027513,0.01893,0.010435,0.012571,0.071372,0.002945,0.000333,0.074651,0.010438,0.001013,0.000329,0.011779,0.012541,0.002193,0.000903,0.015638,0.006266,0.000908,0.000351,0.007524,0.003126,0.000864,0.000947,0.004937,0.002797,0.000779,0.000628,0.004204,0.059943,0.002497,0.000272,0.062712,0.009243,0.000974,0.000341,0.010558,0.010682,0.002077,0.000851,0.01361,0.00496,0.00088,0.000312,0.006152,0.003022,0.000831,0.000846,0.004698,0.002804,0.000846,0.000534,0.004184,0.082452,0.00338,0.000393,0.086225,0.011597,0.00105,0.000316,0.012963,0.014344,0.002306,0.000954,0.017604,0.007531,0.000935,0.000388,0.008855,0.003226,0.000896,0.001045,0.005168,0.00279,0.000714,0.000719,0.004224
1381200000,National Capital Region (NCR),City of Pasig,City of Pasig,801439,397387,404052,0.495842,0.504158,0.101245,0.097341,0.088601,0.081852,0.089817,0.09537,0.089274,0.077699,0.067279,0.054685,0.046047,0.036447,0.029175,0.019904,0.01275,0.006275,0.006239,0.105112,0.101662,0.092824,0.083571,0.089865,0.095391,0.090851,0.07885,0.067257,0.054217,0.044473,0.034153,0.026,0.016777,0.010675,0.004464,0.00386,0.097443,0.093092,0.084447,0.08016,0.089771,0.095349,0.087724,0.076567,0.067301,0.055146,0.047595,0.038703,0.032298,0.02298,0.01479,0.008056,0.008578,0.082545,0.005917,0.000675,0.089137,0.010779,0.001154,0.000453,0.012385,0.011606,0.002371,0.000893,0.01487,0.007103,0.001136,0.00044,0.008678,0.003921,0.001152,0.000991,0.006064,0.00321,0.00115,0.001002,0.005362,0.068754,0.004738,0.000658,0.07415,0.009476,0.001043,0.000484,0.011003,0.009493,0.002053,0.000838,0.012384,0.005863,0.000987,0.000439,0.007289,0.003619,0.001069,0.000936,0.005624,0.00331,0.00122,0.000987,0.005517,0.095994,0.007066,0.000691,0.103751,0.012049,0.001261,0.000422,0.013733,0.013667,0.002682,0.000946,0.017295,0.008311,0.001281,0.000441,0.010033,0.004215,0.001234,0.001045,0.006493,0.003112,0.00108,0.001017,0.00521
1381300000,National Capital Region (NCR),Quezon City,Quezon City,2950493,1465480,1485013,0.49669,0.50331,0.09867,0.093685,0.087585,0.081848,0.092879,0.093683,0.085417,0.074329,0.066117,0.056162,0.049563,0.040526,0.031965,0.02083,0.012821,0.006705,0.007216,0.102336,0.097664,0.091543,0.08345,0.093573,0.095002,0.087471,0.075106,0.065798,0.05539,0.047661,0.038002,0.029183,0.018229,0.010489,0.004871,0.004234,0.095052,0.089757,0.083679,0.080268,0.092194,0.092381,0.083389,0.073562,0.066432,0.056924,0.05144,0.043018,0.034711,0.023397,0.015122,0.008516,0.010159,0.040352,0.002835,0.000522,0.043708,0.007661,0.000888,0.00041,0.008959,0.008221,0.001791,0.000845,0.010857,0.004902,0.000964,0.00041,0.006276,0.002755,0.000924,0.000879,0.004557,0.002689,0.001097,0.001009,0.004795,0.033491,0.00241,0.000512,0.036413,0.006559,0.000784,0.000394,0.007737,0.006837,0.001609,0.000775,0.00922,0.004,0.000868,0.00043,0.005298,0.002461,0.000835,0.000854,0.00415,0.002764,0.001084,0.001009,0.004857,0.047067,0.00325,0.000531,0.050849,0.00874,0.000989,0.000426,0.010156,0.009576,0.00197,0.000913,0.01246,0.005784,0.001057,0.000391,0.007232,0.003042,0.00101,0.000903,0.004955,0.002615,0.00111,0.001008,0.004733
1381400000,National Capital Region (NCR),City of San Juan,City of San Juan,124699,60124,64575,0.482153,0.517847,0.085406,0.080386,0.077017,0.071556,0.092334,0.091268,0.085919,0.076873,0.070843,0.061091,0.05486,0.048028,0.038445,0.026833,0.018148,0.009631,0.011363,0.091062,0.086255,0.084076,0.075544,0.092509,0.091644,0.087536,0.077473,0.069606,0.060242,0.054155,0.044225,0.034096,0.022487,0.015934,0.00637,0.006786,0.080139,0.074921,0.070445,0.067844,0.092172,0.090918,0.084413,0.076314,0.071994,0.061882,0.055517,0.051568,0.042493,0.030879,0.020209,0.012667,0.015625,0.10364,0.003718,0.000509,0.107866,0.020342,0.002069,0.00043,0.022841,0.023586,0.004331,0.001456,0.029373,0.014178,0.001859,0.000631,0.016668,0.007707,0.001894,0.001815,0.011416,0.006953,0.001719,0.000991,0.009663,0.087888,0.002928,0.000439,0.091255,0.017109,0.002123,0.000476,0.019708,0.018884,0.003678,0.001281,0.023843,0.011784,0.001775,0.000714,0.014273,0.00677,0.001592,0.0015,0.009863,0.006642,0.001665,0.001061,0.009369,0.118131,0.004444,0.000572,0.123148,0.023316,0.00202,0.000387,0.025724,0.027912,0.004933,0.001616,0.034461,0.01638,0.001936,0.000556,0.018872,0.008569,0.002172,0.002104,0.012845,0.007239,0.001768,0.000926,0.009933
1380100000,National Capital Region (NCR),City of Caloocan,City of Caloocan,1659025,835738,823287,0.503753,0.496247,0.100822,0.099141,0.094617,0.090322,0.095202,0.091889,0.081332,0.07155,0.063686,0.05383,0.047799,0.038515,0.030008,0.018876,0.011418,0.005708,0.005285,0.1041,0.102517,0.096694,0.091918,0.095271,0.092503,0.082687,0.072032,0.063726,0.053761,0.046877,0.036663,0.028142,0.016808,0.009167,0.004052,0.003084,0.097495,0.095715,0.092508,0.088702,0.095131,0.091266,0.079955,0.071061,0.063645,0.053901,0.048735,0.040395,0.031903,0.020976,0.013702,0.00739,0.00752,0.06474,0.003589,0.000489,0.068817,0.010027,0.000904,0.000363,0.011294,0.008503,0.001592,0.000775,0.01087,0.004381,0.000731,0.000368,0.005481,0.002281,0.000748,0.001023,0.004052,0.002258,0.000822,0.000824,0.003903,0.053855,0.002859,0.000478,0.057192,0.008764,0.000779,0.000355,0.009898,0.007367,0.00154,0.000756,0.009663,0.003579,0.000707,0.000375,0.004661,0.002081,0.000769,0.00103,0.00388,0.00226,0.000863,0.000844,0.003967,0.075708,0.004324,0.000499,0.080532,0.0113,0.00103,0.000371,0.012701,0.009648,0.001645,0.000794,0.012087,0.00519,0.000756,0.000361,0.006307,0.002483,0.000727,0.001016,0.004226,0.002256,0.000781,0.000803,0.00384
1380400000,National Capital Region (NCR),City of Malabon,City of Malabon,379463,191974,187489,0.50591,0.49409,0.094829,0.096265,0.094389,0.090752,0.097135,0.090581,0.079858,0.070837,0.064873,0.05498,0.047828,0.03949,0.031479,0.020605,0.013366,0.006362,0.006372,0.097076,0.099133,0.096565,0.09219,0.097633,0.09207,0.08199,0.071056,0.06505,0.055075,0.047157,0.038208,0.028957,0.018325,0.01109,0.004745,0.003678,0.092528,0.093328,0.09216,0.08928,0.096624,0.089056,0.077674,0.070612,0.064692,0.054883,0.048515,0.040802,0.034061,0.02294,0.015697,0.008016,0.009131,0.06332,0.003482,0.000352,0.067154,0.010004,0.000827,0.00032,0.011151,0.010169,0.001869,0.00067,0.012708,0.006027,0.000774,0.000271,0.007072,0.002582,0.000795,0.000728,0.004105,0.002882,0.001045,0.000993,0.00492,0.052049,0.002879,0.000323,0.05525,0.008959,0.00071,0.00034,0.010009,0.008775,0.001829,0.000733,0.011336,0.004684,0.000779,0.000369,0.005833,0.002354,0.000796,0.000756,0.003906,0.003023,0.000987,0.00109,0.0051,0.074803,0.004097,0.000382,0.079281,0.011067,0.000946,0.0003,0.012313,0.01159,0.00191,0.000605,0.014106,0.007394,0.00077,0.00017,0.008334,0.002815,0.000793,0.000699,0.004308,0.002739,0.001105,0.000893,0.004737
1380900000,National Capital Region (NCR),City of Navotas,City of Navotas,246743,125744,120999,0.509615,0.490385,0.102686,0.104153,0.098678,0.093425,0.094657,0.086722,0.0774,0.068144,0.062855,0.053351,0.046161,0.03821,0.029812,0.019944,0.012418,0.006128,0.005256,0.104586,0.107695,0.099575,0.094088,0.095042,0.087288,0.078882,0.068027,0.06378,0.054046,0.045187,0.03768,0.028789,0.0181,0.009639,0.004509,0.003086,0.100712,0.100472,0.097745,0.092736,0.094257,0.086133,0.07586,0.068265,0.061893,0.052629,0.047174,0.038761,0.030876,0.02186,0.015306,0.00781,0.007512,0.094017,0.004991,0.000447,0.099455,0.013762,0.001486,0.000379,0.015627,0.012294,0.002583,0.000967,0.015844,0.00537,0.001111,0.00037,0.006852,0.002705,0.000971,0.000827,0.004503,0.002439,0.001364,0.000903,0.004706,0.076532,0.003606,0.000462,0.0806,0.012114,0.001323,0.000364,0.013802,0.010178,0.002362,0.001092,0.013633,0.004325,0.001075,0.000391,0.005791,0.002558,0.000941,0.00079,0.00429,0.002629,0.001252,0.000933,0.004814,0.11211,0.006424,0.000432,0.118966,0.015467,0.001654,0.000395,0.017516,0.014484,0.002812,0.000836,0.018132,0.006451,0.001149,0.000349,0.007949,0.002858,0.001002,0.000864,0.004724,0.002242,0.00148,0.000873,0.004595
1381600000,National Capital Region (NCR),City of Valenzuela,City of Valenzuela,713181,362597,350584,0.508422,0.491578,0.093638,0.091438,0.092473,0.087821,0.097418,0.096297,0.087633,0.076544,0.068293,0.055219,0.046102,0.036727,0.028071,0.019163,0.011749,0.005816,0.005597,0.095431,0.093605,0.094146,0.088073,0.098456,0.098142,0.090075,0.077527,0.068605,0.05521,0.045345,0.035191,0.026238,0.016859,0.009642,0.004209,0.003246,0.091784,0.089197,0.090743,0.08756,0.096345,0.094388,0.085107,0.075528,0.067969,0.055228,0.046885,0.038316,0.029967,0.021547,0.013928,0.007479,0.008029,0.070707,0.004759,0.000563,0.076029,0.009162,0.001095,0.000432,0.010688,0.010012,0.002208,0.000885,0.013105,0.004432,0.000873,0.000362,0.005667,0.001957,0.000726,0.000924,0.003606,0.002025,0.000863,0.000953,0.003841,0.058126,0.003906,0.000497,0.062529,0.00804,0.000948,0.000415,0.009403,0.008461,0.002012,0.000762,0.011235,0.003528,0.000729,0.000323,0.004579,0.001765,0.000649,0.00079,0.003204,0.002034,0.000817,0.000902,0.003753,0.083667,0.005637,0.000631,0.089935,0.010317,0.001247,0.000449,0.012013,0.011611,0.002409,0.001011,0.015031,0.005364,0.001021,0.000402,0.006787,0.002154,0.000804,0.001062,0.00402,0.002016,0.000911,0.001005,0.003932
